name
A. Cappellano
accidiosi
Adamo
Adriano V
adulatori
Anchise
angelo nocchiero
Apollo
arcangelo Gabriele
arcangelo Michele
Arnaut Daniel
Arpie
Arrigo VII di Lussemburgo
Augusto
avari e prodighi
barattieri
Beatrice
Belacqua
san Benedetto da Norcia
san Bernardo
Boccaccio
Boezio
Bonagiunta
san Bonaventura da Bagnoregio
Bonconte da Montefeltro
Bonifacio VIII
Brunetto Latini
Bruto e Cassio
Cacciaguida
Caco
Camilla
Cangrande Della Scala
Capaneo
Carlo di Valois
Carlo I d'Angiò
Carlo II d'Angiò
Carlo Martello
Caronte
Casella
Catone Uticense
Cavalcante dei Cavalcanti
Celestino V
centauri
Cerbero
Cesare
Ciacco
Clemente V
Corrado Malaspina
Corso Donati
Costanza d'Altavilla
Cunizza da Romano
san Domenico di Guzmán
Enea
Ercole
eresiarchi
Eurialo e Niso
falsari
Farinata Degli Uberti
Filippo Argenti
Filippo il Bello
Flegiàs
Folchetto di Marsiglia
Forese Donati
Fortuna
san Francesco d'Assisi
Furie
Gerione
san Giacomo Maggiore
Gianciotto Malatesta
giganti
Giovanni XXII
Giove
Giraut de Bornelh
Giuda
Giustiniano
golosi
Guido Cavalcanti
Guido da Montefeltro
Guido del Duca
Guinizelli
Guittone d'Arezzo
Iacopo del Cassero
Iacopo Rusticucci
indovini
invidiosi
ipocriti
iracondi
ladri
Lancillotto e Ginevra
leone
Lia
lonza
santa Lucia
Lucifero
Lucano
Luna
lupa
lussuriosi dannati
lussuriosi penitenti
Malacoda
Malebranche
Manfredi di Svevia
Maometto
Marco Lombardo
Maria Vergine
Marte
Matelda
Medusa
Mercurio
messo celeste
Minosse
Minotauro
morti per forza
Mosca dei Lamberti
Muse
Niccolò III
Nino Visconti
Oderisi da Gubbio
Omero
Orazio
Ovidio
san Paolo
Paolo e Francesca
patriarchi
Pia de' Tolomei
Piccarda Donati
Pier Damiani
Pier della Vigna
san Pietro
Pluto/Plutone
principi negligenti
Proserpina
Rachele
Rifeo
Rinieri da Calboli
ruffiani e seduttori
Salomone
Sapìa
Saturno
seminatori di discordie
Simon mago
sodomiti
Sole
Sordello
spiriti amanti
spiriti combattenti per la fede
spiriti contemplanti
spiriti difettivi
spiriti giusti
spiriti magni
spiriti operanti per la gloria
spiriti sapienti
Stazio
suicidi e scialacquatori
superbi
Tegghiaio Aldobrandi
Teseo
san Tommaso d'Aquino
traditori degli ospiti
traditori dei parenti
traditori della patria
Traiano
Turno
Ugo Capeto
Ugolino della Gherardesca
Ulisse
usurai
Vanni Fucci
veltro
Venere
violenti contro il prossimo
Virgilio

